time,eptot,ektot,etot,temp,pres,volume,density,rmsd
360.0,-108017.9601,22901.3086,-85116.6515,301.3,135.2,361742.9552,1.0421,1.1713
370.0,-107824.2451,22877.123,-84947.122,300.98,81.9,362114.6546,1.041,1.1137
380.0,-107666.1521,22940.9062,-84725.2459,301.82,-231.2,362071.1747,1.0412,1.1203
390.0,-107903.684,22850.3652,-85053.3188,300.63,-190.6,361877.2303,1.0417,1.1177
400.0,-108243.351,22866.3379,-85377.0131,300.84,243.7,361874.6667,1.0417,1.2237
410.0,-108130.7582,22867.418,-85263.3403,300.86,454.7,361482.463,1.0429,1.3482
420.0,-108153.6176,22649.5723,-85504.0454,297.99,-72.0,361656.946,1.0424,1.2936
430.0,-107798.9909,22542.1055,-85256.8854,296.58,239.9,361647.7281,1.0424,1.2015
440.0,-108052.5861,22687.209,-85365.3771,298.48,-38.4,361679.4341,1.0423,1.0691
450.0,-107881.2509,22737.0898,-85144.161,299.14,280.2,361779.9481,1.042,1.07
460.0,-108089.7877,22848.2812,-85241.5064,300.6,-37.0,361713.5579,1.0422,1.014
470.0,-108134.9089,22823.8105,-85311.0984,300.28,-186.4,360996.1432,1.0443,1.1253
480.0,-107862.7525,22718.2148,-85144.5377,298.89,-425.7,361796.6822,1.0419,1.1709
490.0,-107996.9569,22925.7715,-85071.1854,301.62,-134.5,361028.0181,1.0442,1.2305
500.0,-107915.122,22691.9355,-85223.1864,298.55,-162.5,361724.9461,1.0422,1.3563
510.0,-107845.1258,22816.7812,-85028.3445,300.19,77.2,361097.6438,1.044,1.1853
520.0,-107857.0369,22776.5957,-85080.4412,299.66,231.9,361806.566,1.0419,1.1078
530.0,-107802.2551,22714.4609,-85087.7942,298.84,-138.9,362220.6099,1.0407,1.2225
540.0,-107934.812,22855.6133,-85079.1987,300.7,-51.3,362083.2756,1.0411,1.2968
550.0,-108034.0995,22811.7363,-85222.3632,300.12,12.2,361486.4154,1.0428,1.4091
560.0,-107990.199,22882.5039,-85107.6951,301.05,-51.6,360709.0339,1.0451,1.4189
570.0,-107962.3728,22868.5391,-85093.8337,300.87,-140.1,361695.3782,1.0422,1.3702
580.0,-108058.0775,22657.4238,-85400.6537,298.09,192.4,361822.1713,1.0419,1.3666
590.0,-108001.9531,22939.5449,-85062.4081,301.8,117.5,361344.6667,1.0433,1.4307
600.0,-107968.4647,22702.5957,-85265.869,298.69,74.0,361607.9787,1.0425,1.5456
610.0,-107738.0715,22960.3047,-84777.7669,302.08,283.6,361452.5458,1.0429,1.612
620.0,-108037.4503,22885.3301,-85152.1203,301.09,172.1,361906.3873,1.0416,1.5697
630.0,-108150.1942,22835.0059,-85315.1883,300.43,-139.0,361996.0792,1.0414,1.3815
640.0,-108083.5345,22945.4961,-85138.0384,301.88,-45.3,361562.6055,1.0426,1.3225
650.0,-108123.3523,22971.6641,-85151.6882,302.23,53.3,361568.7677,1.0426,1.5284
660.0,-108189.0492,23021.1621,-85167.8871,302.88,-34.5,361802.139,1.0419,1.4403
670.0,-108099.6537,22679.002,-85420.6517,298.38,-218.3,362080.4824,1.0411,1.3963
680.0,-107950.2116,22802.377,-85147.8347,300.0,-275.5,361297.6689,1.0434,1.5345
690.0,-107960.9706,23000.0527,-84960.9178,302.6,140.7,361510.1581,1.0428,1.5006
700.0,-108033.107,23033.4062,-84999.7007,303.04,-243.8,361355.0286,1.0432,1.6541
710.0,-107936.0194,22521.2773,-85414.7421,296.3,209.2,361736.388,1.0421,1.7414
720.0,-107873.2955,22981.0664,-84892.2291,302.35,344.9,361894.422,1.0417,1.5576
730.0,-107779.5703,22611.3867,-85168.1836,297.49,30.6,361495.4748,1.0428,1.4554
740.0,-107862.8316,23114.6387,-84748.1929,304.11,60.0,362422.848,1.0401,1.6505
750.0,-108011.8558,22974.3516,-85037.5042,302.26,-74.9,361408.8573,1.0431,1.5493
760.0,-108181.4965,22922.0254,-85259.4711,301.57,-158.3,360595.7821,1.0454,1.4336
770.0,-107950.9474,22919.1426,-85031.8048,301.54,-222.8,361785.8773,1.042,1.5328
